Ayuntamiento;Cuentas 2009;Cuentas 2010;Cuentas 2011;Poblacion 2009;Poblacion 2010;Poblacion 2011;Viviendas 2001
Agrón ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;340;330;342;375
Alamedilla ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;699;704;673;888
Albolote ;Cuenta rendida;Cuenta rendida;Cuenta rendida;17637;17892;18088;13877
Albondón ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;883;905;889;1027
Albuñán ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;429;431;430;449
Albuñol ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;6704;6686;6587;5784
Albuñuelas ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;982;956;920;1156
Aldeire ;Cuenta rendida;Cuenta no rendida;Cuenta rendida;696;677;670;751
Alfacar ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;5444;5508;5513;4627
Algarinejo ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;3552;3413;3029;4020
Alhama de Granada ;Cuenta rendida;Cuenta no rendida;Cuenta no rendida;6097;6188;6214;6012
Alhendín ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;6934;7362;7746;4578
Alicún de Ortega ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;520;528;500;638
Almegíjar ;Cuenta no rendida;Cuenta rendida;Cuenta rendida;401;427;413;387
Almuñécar ;Cuenta rendida;Cuenta no rendida;Cuenta no rendida;27703;27754;27703;21420
Alpujarra de la Sierra ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;1119;1141;1132;1153
Alquife ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;692;738;712;896
Arenas del Rey ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;2029;1981;2038;1990
Armilla ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;21895;22283;22507;15404
Atarfe ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;15945;16432;16843;11151
Baza ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;21982;22092;21407;21808
Beas de Granada ;Cuenta rendida;Cuenta rendida;Cuenta rendida;1035;1023;1031;1004
Beas de Guadix ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;396;385;380;378
Benalúa ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;3368;3370;3351;3196
Benalúa de las Villas ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;1414;1381;1375;1352
Benamaurel ;Cuenta no rendida;Cuenta rendida;Cuenta rendida;2458;2471;2447;2383
Bérchules ;Cuenta rendida;Cuenta no rendida;Cuenta no rendida;822;828;835;754
Bubión ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;350;343;335;357
Busquístar ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;298;306;292;381
Cacín ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;618;609;590;736
Cádiar ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;1637;1652;1632;1676
Cájar ;Cuenta rendida;Cuenta rendida;Cuenta rendida;4690;4714;4741;3536
Calahorra (La) ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;806;797;765;826
Calicasas ;Cuenta rendida;Cuenta rendida;Cuenta rendida;555;581;571;576
Campotéjar ;Cuenta rendida;Cuenta rendida;Cuenta rendida;1418;1380;1362;1423
Caniles ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;4905;4846;4755;4817
Cáñar ;Cuenta no rendida;Cuenta rendida;Cuenta rendida;412;418;468;316
Capileira ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;541;537;528;557
Carataunas ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;195;200;188;193
Cástaras ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;282;277;274;277
Castilléjar ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;1580;1553;1564;1611
Castril ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;2451;2402;2378;2614
Cenes de la Vega ;Cuenta rendida;Cuenta rendida;Cuenta no rendida;7085;7771;7900;5711
Chauchina ;Cuenta no rendida;Cuenta no rendida;Cuenta no rendida;4760;4768;4813;4320
